method,dimensions,sparsity,non_zero_elements,density,time
One-Hot Encoding,10000,0.9871105121293801,47820,0.012889487870619942,0.11871600151062012
Binary BoW,10000,0.9871105121293801,47820,0.012889487870619942,0.0722954273223877
Frequency BoW,10000,0.9871105121293801,47820,0.012889487870619942,0.06997299194335938
"TF-IDF (smooth_idf=True, sublinear_tf=False)",10000,0.9871105121293801,47820,0.012889487870619942,0.10705685615539551
"TF-IDF (smooth_idf=True, sublinear_tf=False)",10000,0.9871105121293801,47820,0.012889487870619942,0.076629638671875
"TF-IDF (smooth_idf=True, sublinear_tf=False)",10000,0.9944619946091644,20546,0.005538005390835599,0.2746732234954834
"TF-IDF (smooth_idf=True, sublinear_tf=False)",10000,0.996177358490566,14182,0.0038226415094340105,0.2662527561187744
"TF-IDF (smooth_idf=True, sublinear_tf=False)",10000,0.9843355795148248,58115,0.015664420485175246,0.5688385963439941
