,vocab_size,oov_rate,processing_time,total_tokens,avg_tokens_per_doc
Naive,16009,0.28373375131746076,0.005795478820800781,37003,195.78306878306879
Razdel,13482,0.16962992506139926,0.16654157638549805,47639,252.05820105820106
SpaCy,13476,0.16803356056633456,13.278782844543457,47675,252.24867724867724
SpaCy Lemma,7576,0.0755322496067121,14.11346435546875,47675,252.24867724867724
Pymorphy Lemma,6967,0.06475786645395579,4.13294243812561,47639,252.05820105820106
Snowball Stem,6920,0.06366632381032347,1.0642726421356201,47639,252.05820105820106
